,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC3466591,eLife,2012,1,1,0,0,0,0,0,0
1,PMC3466783,eLife,2012,0,1,0,0,0,0,0,0
2,PMC3470409,eLife,2012,1,1,0,0,0,0,0,0
3,PMC3479833,eLife,2012,0,1,0,0,0,0,0,0
4,PMC3482686,eLife,2012,0,0,0,0,0,0,0,0
5,PMC3482692,eLife,2012,0,1,1,0,0,0,0,0
6,PMC3485615,eLife,2012,1,0,0,0,0,0,0,0
7,PMC3490149,eLife,2012,1,1,0,0,0,0,0,0
8,PMC3491588,eLife,2012,0,0,0,0,0,0,0,0
9,PMC3492862,eLife,2012,1,0,0,0,0,0,0,0
10,PMC3494066,eLife,2012,0,0,0,0,0,0,0,0
11,PMC3510452,eLife,2012,0,0,0,0,0,0,0,0
12,PMC3510453,eLife,2012,1,1,0,0,0,0,0,0
13,PMC3510454,eLife,2012,1,0,0,0,0,0,0,0
14,PMC3510455,eLife,2012,0,1,0,0,0,0,0,0
15,PMC3510456,eLife,2012,0,1,0,0,0,0,0,0
16,PMC3510474,eLife,2012,1,0,0,0,0,0,0,0
17,PMC3514886,eLife,2012,0,1,0,0,0,0,0,0
18,PMC3524649,eLife,2012,0,0,0,0,0,0,0,0
19,PMC3524794,eLife,2012,0,0,0,0,0,0,0,0
20,PMC3524795,eLife,2012,0,1,0,0,0,0,0,0
21,PMC3524796,eLife,2012,0,0,0,0,0,0,0,0
22,PMC3524801,eLife,2012,0,0,0,0,0,0,0,0
23,PMC3524939,eLife,2012,0,1,0,0,0,0,0,0
24,PMC3525924,eLife,2012,0,0,0,0,0,0,0,0
25,PMC3534202,eLife,2012,1,0,0,0,0,0,0,0
26,PMC3539331,eLife,2013,0,0,0,0,0,0,0,0
27,PMC3539332,eLife,2013,0,0,0,0,0,0,0,0
28,PMC3539393,eLife,2013,0,0,0,0,0,0,0,0
